#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.2391D+24   0.2391D+24
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.2391D+24  0.1000D-01  0.1000D-01  0.2996D+01  0.2996D+01  0.1650D+01  0.4427D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
   216   0.28800000E+04   0.1354564656095E+00   0.6623536374237E-04   0.1353902302458E+00
   217   0.28933333E+04   0.1350059550100E+00   0.6595027834993E-04   0.1349400047317E+00
   218   0.29066667E+04   0.1345582888292E+00   0.6566770107188E-04   0.1344926211281E+00
   219   0.29200000E+04   0.1341140348047E+00   0.6538759862930E-04   0.1340486472061E+00
   220   0.29333333E+04   0.1336729298592E+00   0.6510993833280E-04   0.1336078199209E+00
   221   0.29466667E+04   0.1332347078444E+00   0.6483468806950E-04   0.1331698731563E+00
   222   0.29600000E+04   0.1327999336028E+00   0.6456181629030E-04   0.1327353717865E+00
   223   0.29733333E+04   0.1323678388442E+00   0.6429129199755E-04   0.1323035475522E+00
   224   0.29866667E+04   0.1319389899318E+00   0.6402308473297E-04   0.1318749668471E+00
   225   0.30000000E+04   0.1315131238239E+00   0.6375716456593E-04   0.1314493666593E+00
   226   0.30133333E+04   0.1310903438671E+00   0.6349350208202E-04   0.1310268503650E+00
   227   0.30266667E+04   0.1306701213479E+00   0.6323206837193E-04   0.1306068892795E+00
   228   0.30400000E+04   0.1302532434198E+00   0.6297283502063E-04   0.1301902705848E+00
   229   0.30533333E+04   0.1298387699377E+00   0.6271577409677E-04   0.1297760541636E+00
   230   0.30666667E+04   0.1294274896169E+00   0.6246085814244E-04   0.1293650287587E+00
   231   0.30800000E+04   0.1290188724987E+00   0.6220806016309E-04   0.1289566644386E+00
   232   0.30933333E+04   0.1286130277598E+00   0.6195735361777E-04   0.1285510704062E+00
   233   0.31066667E+04   0.1282100603232E+00   0.6170871240962E-04   0.1281483516108E+00
   234   0.31200000E+04   0.1278098944753E+00   0.6146211087659E-04   0.1277484323644E+00
   235   0.31333333E+04   0.1274123267560E+00   0.6121752378236E-04   0.1273511092323E+00
   236   0.31466667E+04   0.1270170597240E+00   0.6097492630753E-04   0.1269560847977E+00
   237   0.31600000E+04   0.1266248719714E+00   0.6073429404100E-04   0.1265641376773E+00
   238   0.31733333E+04   0.1262351988500E+00   0.6049569608763E-04   0.1261747031539E+00
   239   0.31866667E+04   0.1258479723437E+00   0.6025891906185E-04   0.1257877134246E+00
   240   0.32000000E+04   0.1254632989564E+00   0.6002403650980E-04   0.1254032749199E+00
   241   0.32133333E+04   0.1250815043212E+00   0.5979102556689E-04   0.1250217132957E+00
   242   0.32266667E+04   0.1247018598360E+00   0.5955986373705E-04   0.1246422999722E+00
   243   0.32400000E+04   0.1243248242941E+00   0.5933052888529E-04   0.1242654937652E+00
